Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1732838215.517954,2138,6,1
2,Payment,1732838215.518105,2712,4,1
2,Payment,1732838215.518461,2476,1,1
2,Payment,1732838215.519067,2417,7,1
1,NewOrder,1732838215.519559,5900,2,1
4,Delivery,1732838215.520188,17174,6,1
1,NewOrder,1732838215.520824,7513,4,1
2,Payment,1732838215.520935,2082,5,1
1,NewOrder,1732838215.520946,8507,1,1
1,NewOrder,1732838215.521492,8419,7,1
2,Payment,1732838215.523025,2198,5,1
1,NewOrder,1732838215.523700,9682,0,1
1,NewOrder,1732838215.524687,9470,8,1
2,Payment,1732838215.525231,2060,5,1
1,NewOrder,1732838215.525467,8448,2,1
1,NewOrder,1732838215.526823,9670,9,1
1,NewOrder,1732838215.527295,6997,5,1
1,NewOrder,1732838215.528149,9451,3,1
2,Payment,1732838215.528343,2129,4,1
1,NewOrder,1732838215.529460,11080,1,1
1,NewOrder,1732838215.529918,9418,7,1
1,NewOrder,1732838215.530476,5864,4,1
2,Payment,1732838215.533389,2258,0,1
1,NewOrder,1732838215.533925,9936,2,1
2,Payment,1732838215.534164,2296,8,1
1,NewOrder,1732838215.534298,6690,5,1
1,NewOrder,1732838215.535653,7975,0,1
2,Payment,1732838215.536345,2425,4,1
1,NewOrder,1732838215.536466,6557,8,1
2,Payment,1732838215.536499,2041,9,1
2,Payment,1732838215.537369,2210,6,1
2,Payment,1732838215.537608,2054,3,1
1,NewOrder,1732838215.538545,5207,9,1
1,NewOrder,1732838215.538774,8200,4,1
1,NewOrder,1732838215.539344,6406,7,1
2,Payment,1732838215.539587,1957,6,1
2,Payment,1732838215.539668,1927,3,1
1,NewOrder,1732838215.540546,7622,1,1
1,NewOrder,1732838215.540993,10042,5,1
1,NewOrder,1732838215.541548,9894,6,1
1,NewOrder,1732838215.541603,8930,3,1
1,NewOrder,1732838215.543030,8250,8,1
3,OrderStatus,1732838215.543635,981,0,1
1,NewOrder,1732838215.543757,7942,9,1
1,NewOrder,1732838215.543878,6379,2,1
1,NewOrder,1732838215.544622,6933,0,1
1,NewOrder,1732838215.545768,9489,7,1
3,OrderStatus,1732838215.546981,1085,4,1
1,NewOrder,1732838215.548072,11030,4,1
2,Payment,1732838215.548175,2270,1,1
2,Payment,1732838215.550263,2490,2,1
1,NewOrder,1732838215.550452,10617,1,1
2,Payment,1732838215.550553,2104,3,1
2,Payment,1732838215.551045,2038,5,1
3,OrderStatus,1732838215.551286,982,8,1
1,NewOrder,1732838215.551447,9393,6,1
2,Payment,1732838215.551559,2004,0,1
2,Payment,1732838215.551705,2010,9,1
2,Payment,1732838215.552276,2024,8,1
2,Payment,1732838215.552663,2033,3,1
2,Payment,1732838215.552761,2057,2,1
1,NewOrder,1732838215.553088,11250,5,1
1,NewOrder,1732838215.553570,5945,0,1
1,NewOrder,1732838215.553722,5534,9,1
2,Payment,1732838215.554305,1907,8,1
1,NewOrder,1732838215.554702,8327,3,1
1,NewOrder,1732838215.554823,6325,2,1
1,NewOrder,1732838215.555264,9847,7,1
1,NewOrder,1732838215.556218,10053,8,1
1,NewOrder,1732838215.559107,11102,4,1
1,NewOrder,1732838215.559262,10449,9,1
2,Payment,1732838215.559522,2288,0,1
2,Payment,1732838215.560845,1996,6,1
4,Delivery,1732838215.561075,19529,1,1
1,NewOrder,1732838215.561154,8375,2,1
2,Payment,1732838215.561815,2379,0,1
4,Delivery,1732838215.562846,18706,6,1
2,Payment,1732838215.563037,1926,3,1
1,NewOrder,1732838215.564201,17087,0,1
1,NewOrder,1732838215.564342,8109,5,1
2,Payment,1732838215.564969,2064,3,1
2,Payment,1732838215.565117,3190,7,1
2,Payment,1732838215.566279,2602,8,1
1,NewOrder,1732838215.567039,11264,3,1
1,NewOrder,1732838215.568323,9183,7,1
2,Payment,1732838215.568892,1992,8,1
1,NewOrder,1732838215.569536,7491,2,1
2,Payment,1732838215.569722,2032,9,1
4,Delivery,1732838215.570214,19526,4,1
2,Payment,1732838215.570892,1902,8,1
2,Payment,1732838215.571759,1924,9,1
2,Payment,1732838215.572456,2123,5,1
3,OrderStatus,1732838215.572800,921,8,1
2,Payment,1732838215.573690,2207,9,1
1,NewOrder,1732838215.573727,6969,8,1
2,Payment,1732838215.574583,2220,5,1
1,NewOrder,1732838215.575903,5052,9,1
1,NewOrder,1732838215.576808,7962,5,1
2,Payment,1732838215.577035,2205,2,1
1,NewOrder,1732838215.577514,6044,7,1
1,NewOrder,1732838215.578309,5545,3,1
1,NewOrder,1732838215.579246,7562,2,1
2,Payment,1732838215.580611,2175,1,1
2,Payment,1732838215.580702,1920,8,1
1,NewOrder,1732838215.580960,6094,9,1
1,NewOrder,1732838215.581294,7887,0,1
1,NewOrder,1732838215.581557,8531,6,1
1,NewOrder,1732838215.582628,9835,8,1
5,StockLevel,1732838215.582792,2721,1,1
1,NewOrder,1732838215.583565,9707,7,1
2,Payment,1732838215.583860,2034,3,1
2,Payment,1732838215.584775,2155,5,1
1,NewOrder,1732838215.585517,9265,1,1
1,NewOrder,1732838215.585900,8685,3,1
1,NewOrder,1732838215.586815,6626,2,1
1,NewOrder,1732838215.586935,10149,5,1
2,Payment,1732838215.587060,2046,9,1
3,OrderStatus,1732838215.589113,1027,9,1
1,NewOrder,1732838215.589188,5873,0,1
1,NewOrder,1732838215.589744,6535,4,1
2,Payment,1732838215.590093,2225,6,1
1,NewOrder,1732838215.590145,7684,9,1
2,Payment,1732838215.592322,1944,6,1
1,NewOrder,1732838215.592469,5950,8,1
4,Delivery,1732838215.593280,17503,7,1
1,NewOrder,1732838215.593447,8187,2,1
1,NewOrder,1732838215.594270,5918,6,1
2,Payment,1732838215.594591,2060,3,1
1,NewOrder,1732838215.594790,10147,1,1
2,Payment,1732838215.595068,2368,0,1
3,OrderStatus,1732838215.596284,1064,4,1
1,NewOrder,1732838215.596658,10239,3,1
1,NewOrder,1732838215.597091,6641,5,1
3,OrderStatus,1732838215.597352,1077,4,1
2,Payment,1732838215.597442,2201,0,1
3,OrderStatus,1732838215.597837,947,9,1
2,Payment,1732838215.598429,1975,8,1
2,Payment,1732838215.598447,2100,4,1
1,NewOrder,1732838215.598797,5047,9,1
1,NewOrder,1732838215.599650,5186,0,1
1,NewOrder,1732838215.600193,6908,6,1
2,Payment,1732838215.600412,2318,8,1
1,NewOrder,1732838215.600552,8635,4,1
2,Payment,1732838215.601640,2324,2,1
1,NewOrder,1732838215.602738,7689,8,1
1,NewOrder,1732838215.603737,5334,5,1
1,NewOrder,1732838215.603851,5978,9,1
1,NewOrder,1732838215.603970,3921,2,1
2,Payment,1732838215.604842,2160,0,1
2,Payment,1732838215.604945,2038,1,1
1,NewOrder,1732838215.606905,5533,3,1
2,Payment,1732838215.606990,2333,1,1
1,NewOrder,1732838215.607007,5597,0,1
1,NewOrder,1732838215.607107,9443,6,1
1,NewOrder,1732838215.607896,9925,2,1
1,NewOrder,1732838215.609077,6678,5,1
1,NewOrder,1732838215.609191,6434,4,1
5,StockLevel,1732838215.609329,2061,1,1
1,NewOrder,1732838215.609834,9282,9,1
1,NewOrder,1732838215.610432,9373,8,1
4,Delivery,1732838215.610791,18942,7,1
1,NewOrder,1732838215.611396,11065,1,1
1,NewOrder,1732838215.612444,10440,3,1
4,Delivery,1732838215.612610,19361,0,1
1,NewOrder,1732838215.615630,8020,4,1
1,NewOrder,1732838215.615761,5924,5,1
2,Payment,1732838215.616557,2954,6,1
4,Delivery,1732838215.617828,18783,2,1
1,NewOrder,1732838215.619122,7688,9,1
2,Payment,1732838215.619515,2037,6,1
2,Payment,1732838215.619812,2033,8,1
2,Payment,1732838215.621556,1999,6,1
1,NewOrder,1732838215.621691,10250,5,1
2,Payment,1732838215.621849,2143,8,1
1,NewOrder,1732838215.622468,7755,1,1
5,StockLevel,1732838215.622891,2764,3,1
1,NewOrder,1732838215.623559,5541,6,1
1,NewOrder,1732838215.623655,8161,4,1
3,OrderStatus,1732838215.623997,2030,8,1
1,NewOrder,1732838215.625662,6387,3,1
2,Payment,1732838215.626032,2020,8,1
2,Payment,1732838215.626817,2125,9,1
1,NewOrder,1732838215.628060,7595,8,1
2,Payment,1732838215.628948,2002,9,1
1,NewOrder,1732838215.629104,9312,6,1
2,Payment,1732838215.629739,2214,7,1
2,Payment,1732838215.630230,2121,1,1
1,NewOrder,1732838215.630954,9122,9,1
4,Delivery,1732838215.631820,17920,4,1
1,NewOrder,1732838215.631946,5514,5,1
2,Payment,1732838215.631959,2107,7,1
2,Payment,1732838215.631977,2210,0,1
2,Payment,1732838215.632055,2240,3,1
2,Payment,1732838215.632356,2146,1,1
4,Delivery,1732838215.634071,17780,7,1
1,NewOrder,1732838215.634193,10250,0,1
1,NewOrder,1732838215.634301,6972,3,1
1,NewOrder,1732838215.634508,5149,1,1
2,Payment,1732838215.635660,1903,8,1
1,NewOrder,1732838215.636617,6501,2,1
1,NewOrder,1732838215.637465,9418,5,1
2,Payment,1732838215.637566,1937,8,1
2,Payment,1732838215.638419,1856,6,1
2,Payment,1732838215.639507,2128,8,1
2,Payment,1732838215.639663,2431,1,1
3,OrderStatus,1732838215.640082,1095,9,1
1,NewOrder,1732838215.640280,10304,6,1
2,Payment,1732838215.641182,2049,9,1
2,Payment,1732838215.641279,2104,3,1
1,NewOrder,1732838215.641642,8803,8,1
2,Payment,1732838215.642101,2234,1,1
2,Payment,1732838215.643124,2019,2,1
3,OrderStatus,1732838215.643236,939,9,1
1,NewOrder,1732838215.643390,9693,3,1
4,Delivery,1732838215.644190,17662,9,1
1,NewOrder,1732838215.644343,9589,1,1
2,Payment,1732838215.644462,2099,0,1
2,Payment,1732838215.645148,2396,2,1
2,Payment,1732838215.646566,2436,0,1
2,Payment,1732838215.646892,2231,5,1
1,NewOrder,1732838215.647549,9526,2,1
1,NewOrder,1732838215.649015,6370,0,1
2,Payment,1732838215.649128,2366,5,1
5,StockLevel,1732838215.649745,2202,4,1
5,StockLevel,1732838215.650450,2121,8,1
1,NewOrder,1732838215.650590,6149,6,1
2,Payment,1732838215.651499,1992,5,1
4,Delivery,1732838215.651857,17256,7,1
2,Payment,1732838215.651951,2073,4,1
5,StockLevel,1732838215.652576,1773,8,1
1,NewOrder,1732838215.653089,8579,3,1
3,OrderStatus,1732838215.653496,1002,5,1
2,Payment,1732838215.653939,2305,1,1
1,NewOrder,1732838215.654028,7979,4,1
2,Payment,1732838215.654353,2202,8,1
1,NewOrder,1732838215.654501,9186,5,1
1,NewOrder,1732838215.655391,8999,0,1
2,Payment,1732838215.656249,2159,1,1
