Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,811.600,8.228,3.466,6.319,7.780,9.372,10.541,11.389,21.335,215.077,0.122
5,802.800,8.252,3.822,6.323,7.852,9.461,10.731,12.442,20.638,47.468,0.121
10,832.200,7.920,3.458,6.257,7.812,9.346,10.423,10.973,14.915,23.049,0.126
15,849.400,7.873,3.575,6.246,7.743,9.302,10.320,10.906,14.222,21.861,0.127
20,845.400,7.927,3.684,6.296,7.719,9.290,10.353,11.041,15.819,22.788,0.126
25,801.200,8.193,3.556,6.292,7.813,9.419,10.557,11.645,20.653,44.652,0.122
30,762.600,9.098,3.796,6.449,8.239,10.169,14.506,17.603,22.711,31.648,0.110
35,804.200,8.466,3.696,6.435,8.028,9.574,11.012,14.045,21.747,32.908,0.118
40,828.000,8.080,3.719,6.363,7.822,9.324,10.391,11.085,18.733,42.176,0.124
45,846.600,7.729,3.687,6.121,7.540,9.085,10.155,10.700,14.655,27.483,0.129
50,848.800,7.797,3.496,6.247,7.649,9.100,10.214,10.836,15.884,21.997,0.128
55,840.200,7.906,3.581,6.274,7.723,9.266,10.387,11.009,16.226,23.401,0.126
