Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,68.600,1.153,0.846,0.949,0.997,1.059,1.160,1.211,2.030,41.772,0.867
5,69.200,1.086,0.875,0.978,1.034,1.098,1.176,1.249,2.535,3.729,0.921
10,80.400,1.126,0.828,0.951,1.001,1.070,1.177,1.278,3.807,12.658,0.888
15,75.200,1.020,0.851,0.949,0.987,1.037,1.092,1.148,2.073,2.407,0.980
20,74.800,1.048,0.839,0.945,0.995,1.055,1.134,1.183,2.247,8.935,0.954
25,81.800,1.059,0.828,0.949,1.002,1.064,1.153,1.300,1.907,12.094,0.944
30,70.800,1.046,0.836,0.944,0.995,1.052,1.126,1.206,2.087,8.924,0.956
35,77.600,1.040,0.836,0.954,1.013,1.090,1.145,1.246,1.820,3.604,0.961
40,71.200,1.023,0.842,0.944,0.996,1.057,1.117,1.182,2.039,2.483,0.977
45,74.600,1.049,0.824,0.940,0.987,1.030,1.098,1.160,2.191,12.394,0.953
50,73.600,1.014,0.842,0.932,0.977,1.035,1.101,1.207,2.022,2.190,0.986
55,76.200,1.026,0.848,0.940,0.993,1.052,1.120,1.200,1.962,3.677,0.975
