Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,790.200,2.308,1.736,2.005,2.104,2.248,2.470,2.981,5.405,42.883,0.433
5,785.600,2.286,1.715,1.997,2.087,2.224,2.474,3.026,6.944,30.242,0.437
10,786.400,2.238,1.700,2.008,2.109,2.249,2.513,2.978,4.380,14.027,0.447
15,806.400,2.207,1.741,1.992,2.087,2.216,2.410,2.784,4.536,15.844,0.453
20,813.400,2.177,1.719,1.990,2.082,2.214,2.401,2.711,3.358,14.629,0.459
25,800.000,2.261,1.741,2.002,2.104,2.250,2.510,2.934,4.691,27.630,0.442
30,705.000,2.286,1.763,2.022,2.128,2.272,2.544,3.094,4.710,13.875,0.437
35,753.000,2.248,1.748,2.011,2.116,2.258,2.495,2.879,4.316,21.716,0.445
40,800.400,2.249,1.739,2.001,2.092,2.222,2.450,2.872,4.521,33.434,0.445
45,817.200,2.190,1.758,1.991,2.091,2.223,2.440,2.809,3.469,14.209,0.457
50,792.600,2.217,1.706,1.986,2.085,2.211,2.427,2.903,4.986,14.411,0.451
55,807.000,2.181,1.687,1.990,2.096,2.230,2.415,2.716,3.506,13.195,0.459
