Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,70.000,2.015,1.195,1.732,1.958,2.176,2.464,2.721,3.494,13.637,0.496
5,73.000,2.164,1.256,1.863,2.152,2.434,2.750,2.882,3.206,3.889,0.462
10,73.800,2.128,1.388,1.818,2.089,2.342,2.563,2.741,3.260,11.836,0.470
15,74.600,2.112,1.271,1.810,2.040,2.305,2.545,2.742,3.171,12.829,0.474
20,65.200,2.113,1.259,1.838,2.063,2.298,2.619,2.809,3.106,4.670,0.473
25,69.800,2.163,1.185,1.869,2.071,2.380,2.617,2.816,3.382,14.327,0.462
30,66.000,2.049,1.165,1.781,1.990,2.213,2.493,2.705,3.500,9.392,0.488
35,72.200,2.224,1.301,1.875,2.110,2.404,2.743,2.993,4.808,13.226,0.450
40,69.200,2.090,1.304,1.801,2.034,2.288,2.535,2.821,3.423,5.691,0.479
45,73.800,2.171,1.362,1.839,2.015,2.319,2.570,2.745,9.245,13.447,0.461
50,79.000,2.047,1.158,1.797,1.994,2.269,2.522,2.697,3.220,4.055,0.488
55,74.600,2.076,1.264,1.731,2.008,2.290,2.611,2.813,3.211,14.194,0.482
