Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1808.600,5.525,0.846,2.073,3.268,8.024,10.199,13.964,20.174,215.077,0.181
5,1801.200,5.548,0.875,2.067,3.279,8.063,10.349,16.569,20.635,47.468,0.180
10,1847.800,5.411,0.828,2.086,3.516,8.036,10.154,12.117,19.011,31.080,0.185
15,1877.200,5.324,0.851,2.062,3.218,7.975,10.049,11.602,18.500,28.054,0.188
20,1869.600,5.348,0.839,2.062,3.098,7.938,10.020,11.808,18.993,30.939,0.187
25,1826.800,5.473,0.828,2.075,2.997,7.993,10.267,16.335,19.969,44.652,0.183
30,1671.200,5.981,0.836,2.102,4.554,8.599,12.815,17.644,20.902,31.648,0.167
35,1773.400,5.635,0.836,2.092,3.439,8.236,10.537,16.770,20.611,35.633,0.177
40,1837.800,5.439,0.842,2.070,3.259,7.992,10.104,12.379,19.592,51.882,0.184
45,1891.200,5.285,0.824,2.064,3.184,7.777,9.918,11.782,18.665,33.855,0.189
50,1870.200,5.344,0.842,2.062,3.997,7.937,9.977,11.963,18.859,29.302,0.187
55,1872.800,5.330,0.848,2.067,3.134,7.943,10.067,11.939,18.975,28.752,0.188
