Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1746,1746.000,849,2078,3230,5729,8045,10172,15391,21335,215077
1,1841,1841.000,850,2075,3706,5415,8082,10130,11767,19055,31019
2,1908,1908.000,885,2047,2770,5239,7858,9889,11390,19324,32397
3,1832,1832.000,846,2088,4636,5457,7896,10342,13858,19370,30091
4,1716,1716.000,857,2086,3397,5823,8301,10681,17316,27133,45579
5,1766,1766.000,877,2065,3073,5663,8150,11040,17453,20833,31828
6,1902,1902.000,875,2050,2922,5255,7722,9839,11219,19455,28434
7,1634,1634.000,920,2097,4984,6121,8592,10995,17714,25394,47468
8,1843,1843.000,899,2060,3163,5414,7890,10210,16374,19224,26525
9,1861,1861.000,879,2068,3026,5367,8035,10120,12765,19545,29961
10,1818,1818.000,885,2101,4401,5510,8167,10313,13834,19338,30374
11,1890,1890.000,848,2116,3215,5278,7852,9977,11260,18465,29335
12,1833,1833.000,855,2083,4618,5461,8154,10251,11908,18921,29790
13,1893,1893.000,884,2071,2939,5276,7845,10144,11995,18845,28445
14,1805,1805.000,828,2064,4577,5537,8181,10123,15260,19252,31080
15,1867,1867.000,867,2067,3575,5365,7977,9932,13306,18653,25703
16,1886,1886.000,870,2064,3492,5289,7908,10038,11512,18613,28054
17,1843,1843.000,865,2059,4693,5415,8084,10156,11891,18712,26709
18,1884,1884.000,851,2056,3223,5315,7923,10078,11306,18451,27399
19,1906,1906.000,856,2064,2939,5235,7991,9963,11167,18424,25264
20,1885,1885.000,847,2044,3228,5310,7867,9904,11340,18767,30939
21,1860,1860.000,861,2064,2909,5381,8020,10166,12073,19222,26071
22,1884,1884.000,875,2046,3094,5300,7862,9858,11677,19110,29731
23,1815,1815.000,896,2078,4630,5500,8216,10294,13455,18764,30140
24,1904,1904.000,839,2071,2891,5254,7817,9986,11428,18979,29833
25,1751,1751.000,868,2090,3198,5706,7999,10428,17301,27543,44652
26,1884,1884.000,828,2046,2911,5305,7861,10003,13465,19243,28952
27,1893,1893.000,853,2042,2846,5282,8001,10075,12220,18874,29772
28,1915,1915.000,843,2065,2694,5227,7764,10034,11307,18809,29062
29,1691,1691.000,865,2159,3491,5911,8487,11315,17781,21529,37249
30,1671,1671.000,836,2140,4535,5986,8507,12383,17275,21252,28883
31,1684,1684.000,873,2111,3832,5921,8577,11866,17799,20902,30692
32,1694,1694.000,841,2096,4669,5908,8584,11911,17399,20661,26699
33,1720,1720.000,872,2073,3245,5824,8567,12635,17559,19998,27535
34,1587,1587.000,859,2103,4863,6284,8786,15321,17920,21847,31648
35,1636,1636.000,871,2132,5095,6145,8780,11172,17452,23742,35633
36,1695,1695.000,836,2096,3173,5856,8447,11789,17608,23314,32908
37,1708,1708.000,857,2116,4483,5891,8366,11421,17762,20957,30305
38,1868,1868.000,852,2092,3194,5318,7953,10054,11259,18519,29161
39,1960,1960.000,842,2039,2807,5096,7796,9843,10916,18461,27200
40,1870,1870.000,852,2043,2666,5351,7957,10062,12092,18972,51882
41,1899,1899.000,852,2082,2910,5253,7685,9933,11328,19205,27200
42,1878,1878.000,842,2070,3198,5321,7914,10095,11878,18668,26490
43,1706,1706.000,874,2101,4515,5858,8353,10388,17121,26780,49939
44,1836,1836.000,877,2062,4673,5448,8163,10137,12526,19146,30587
45,1954,1954.000,879,2028,2668,5118,7504,9753,11459,18409,24743
46,1855,1855.000,824,2079,4788,5382,8004,9968,11434,18389,26129
47,1891,1891.000,873,2094,3086,5286,7601,9915,11642,19172,30717
48,1908,1908.000,864,2074,2819,5252,7766,9793,11735,18739,33855
49,1848,1848.000,859,2067,4478,5397,7896,10188,16129,18777,27624
50,1874,1874.000,842,2058,3155,5325,7972,9940,13418,18892,29302
51,1927,1927.000,863,2054,3930,5198,7771,9716,11179,18212,21588
52,1786,1786.000,844,2072,4977,5599,8145,10168,16480,19527,29127
53,1902,1902.000,842,2046,3381,5255,7801,10013,11606,18896,27247
54,1862,1862.000,854,2080,3206,5359,7965,10199,12361,18980,21453
55,1911,1911.000,872,2082,2840,5238,7816,10022,11580,18645,23193
56,1886,1886.000,849,2059,2922,5320,7847,10060,12453,19227,25299
57,1816,1816.000,848,2074,4535,5484,8127,10208,16379,19283,28752
58,1891,1891.000,860,2048,2826,5289,7947,9946,12139,18879,26706
59,1860,1860.000,858,2076,3724,5326,7989,10052,11321,18860,23070
