FSTYP         -- ext4
PLATFORM      -- Linux/x86_64 fio-UNREPLICATED 6.8.0-1017-azure #20-Ubuntu SMP Tue Oct 22 03:43:13 UTC 2024
MKFS_OPTIONS  -- -F /dev/mapper/rollbaccine1
MOUNT_OPTIONS -- -o acl,user_xattr /dev/mapper/rollbaccine1 /mnt/newfs

seq1_nested/100        1s
seq1_nested/101        0s
seq1_nested/102        1s
seq1_nested/103        0s
seq1_nested/104        0s
seq1_nested/105        1s
seq1_nested/106        0s
seq1_nested/107        0s
seq1_nested/108        1s
seq1_nested/109        0s
seq1_nested/110        1s
seq1_nested/111        0s
seq1_nested/112        0s
seq1_nested/113        1s
seq1_nested/114        0s
seq1_nested/115        0s
seq1_nested/116        1s
seq1_nested/117        0s
seq1_nested/118        1s
seq1_nested/119        0s
seq1_nested/120        0s
seq1_nested/121        1s
seq1_nested/122        0s
seq1_nested/123        0s
seq1_nested/124        1s
seq1_nested/125        0s
seq1_nested/126        1s
seq1_nested/127        0s
seq1_nested/128        0s
seq1_nested/129        1s
seq1_nested/130        0s
seq1_nested/131        1s
seq1_nested/132        0s
seq1_nested/133        0s
seq1_nested/134        1s
seq1_nested/135        0s
seq1_nested/136        0s
seq1_nested/137        1s
seq1_nested/138        0s
seq1_nested/139        1s
seq1_nested/140        0s
seq1_nested/141        0s
seq1_nested/142        1s
seq1_nested/143        0s
seq1_nested/144        0s
seq1_nested/145        1s
seq1_nested/146        0s
seq1_nested/147        1s
seq1_nested/148        0s
seq1_nested/149        0s
seq1_nested/150        1s
seq1_nested/151        0s
seq1_nested/152        1s
seq1_nested/153        0s
seq1_nested/154        0s
seq1_nested/155        1s
seq1_nested/156        0s
seq1_nested/157        0s
seq1_nested/158        1s
seq1_nested/159        0s
seq1_nested/160        1s
seq1_nested/161        0s
seq1_nested/162        0s
seq1_nested/163        1s
seq1_nested/164        0s
seq1_nested/165        1s
seq1_nested/166        0s
seq1_nested/167        0s
seq1_nested/168        1s
seq1_nested/169        0s
seq1_nested/170        0s
seq1_nested/171        1s
seq1_nested/172        0s
seq1_nested/173        1s
seq1_nested/174        0s
seq1_nested/175        0s
seq1_nested/176        1s
seq1_nested/177        0s
seq1_nested/178        0s
seq1_nested/179        0s
seq1_nested/180        0s
seq1_nested/181        1s
seq1_nested/182        0s
seq1_nested/183        0s
seq1_nested/184        1s
seq1_nested/185        0s
seq1_nested/186        1s
seq1_nested/187        0s
seq1_nested/188        0s
seq1_nested/189        1s
seq1_nested/190        0s
seq1_nested/191        0s
seq1_nested/192        1s
seq1_nested/193        0s
seq1_nested/194        1s
seq1_nested/195        0s
seq1_nested/196        0s
seq1_nested/197        1s
seq1_nested/198        0s
seq1_nested/199        0s
seq1_nested/200        0s
seq1_nested/201        0s
seq1_nested/202        1s
seq1_nested/203        0s
seq1_nested/204        0s
seq1_nested/205        1s
seq1_nested/206        0s
seq1_nested/207        1s
seq1_nested/208        0s
seq1_nested/209        0s
seq1_nested/210        1s
seq1_nested/211        0s
seq1_nested/212        0s
seq1_nested/213        1s
seq1_nested/214        0s
seq1_nested/215        1s
seq1_nested/216        0s
seq1_nested/217        0s
seq1_nested/218        1s
seq1_nested/219        0s
seq1_nested/220        0s
seq1_nested/221        1s
seq1_nested/222        0s
seq1_nested/223        1s
seq1_nested/224        0s
seq1_nested/225        0s
seq1_nested/226        1s
seq1_nested/227        0s
seq1_nested/228        1s
seq1_nested/229        0s
seq1_nested/230        0s
seq1_nested/231        1s
seq1_nested/232        0s
seq1_nested/233        0s
seq1_nested/234        1s
seq1_nested/235        0s
seq1_nested/236        1s
seq1_nested/237        0s
seq1_nested/238        0s
seq1_nested/239        1s
seq1_nested/240        0s
seq1_nested/241        0s
seq1_nested/242        1s
seq1_nested/243        0s
seq1_nested/244        1s
seq1_nested/245        0s
seq1_nested/246        0s
seq1_nested/247        1s
seq1_nested/248        0s
seq1_nested/249        1s
seq1_nested/250        0s
seq1_nested/251        0s
seq1_nested/252        1s
seq1_nested/253        0s
seq1_nested/254        0s
seq1_nested/255        1s
seq1_nested/256        0s
seq1_nested/257        1s
seq1_nested/258        0s
seq1_nested/259        0s
seq1_nested/260        1s
seq1_nested/261        0s
seq1_nested/262        0s
